Date,Severity,Crashes
3/16/2009,Minor Injury,11
3/16/2009,Major Injury,5
3/16/2009,Fatal,2
3/16/2009,Possible/Unknown,19
3/17/2009,Property Damage Only,100
3/17/2009,Minor Injury,10
3/17/2009,Major Injury,4
3/17/2009,Possible/Unknown,19
3/18/2009,Property Damage Only,89
3/18/2009,Minor Injury,9
3/18/2009,Major Injury,1
3/18/2009,Possible/Unknown,14
3/19/2009,Property Damage Only,83
3/19/2009,Minor Injury,12
3/19/2009,Major Injury,3
3/19/2009,Possible/Unknown,22
3/20/2009,Property Damage Only,79
3/20/2009,Minor Injury,8
3/20/2009,Major Injury,1
3/20/2009,Possible/Unknown,23
3/21/2009,Property Damage Only,66
3/21/2009,Minor Injury,8
3/21/2009,Major Injury,7
3/21/2009,Possible/Unknown,16
3/22/2009,Property Damage Only,46
3/22/2009,Minor Injury,4
3/22/2009,Major Injury,2
3/22/2009,Possible/Unknown,7
3/23/2009,Property Damage Only,67
3/23/2009,Minor Injury,5
3/23/2009,Major Injury,2
3/23/2009,Possible/Unknown,22
3/24/2009,Property Damage Only,80
3/24/2009,Minor Injury,11
3/24/2009,Major Injury,5
3/24/2009,Fatal,2
3/24/2009,Possible/Unknown,33
3/25/2009,Property Damage Only,65
3/25/2009,Minor Injury,6
3/25/2009,Major Injury,3
3/25/2009,Fatal,2
3/25/2009,Possible/Unknown,18
3/26/2009,Property Damage Only,78
3/26/2009,Minor Injury,8
3/26/2009,Major Injury,1
3/26/2009,Possible/Unknown,6
3/27/2009,Property Damage Only,70
3/27/2009,Minor Injury,6
3/27/2009,Major Injury,6
3/27/2009,Possible/Unknown,19
3/28/2009,Property Damage Only,139
3/28/2009,Minor Injury,19
3/28/2009,Major Injury,7
3/28/2009,Possible/Unknown,36
3/29/2009,Property Damage Only,66
3/29/2009,Minor Injury,9
3/29/2009,Major Injury,1
3/29/2009,Possible/Unknown,19
3/30/2009,Property Damage Only,94
3/30/2009,Minor Injury,10
3/30/2009,Major Injury,6
3/30/2009,Possible/Unknown,21
3/31/2009,Property Damage Only,62
3/31/2009,Minor Injury,6
3/31/2009,Major Injury,2
3/31/2009,Possible/Unknown,12
4/1/2009,Property Damage Only,83
4/1/2009,Minor Injury,7
4/1/2009,Major Injury,4
4/1/2009,Fatal,1
4/1/2009,Possible/Unknown,20
4/2/2009,Property Damage Only,84
4/2/2009,Minor Injury,8
4/2/2009,Major Injury,5
4/2/2009,Fatal,1
4/2/2009,Possible/Unknown,18
4/3/2009,Property Damage Only,136
4/3/2009,Minor Injury,15
4/3/2009,Major Injury,4
4/3/2009,Possible/Unknown,25
4/4/2009,Property Damage Only,71
4/4/2009,Minor Injury,17
4/4/2009,Major Injury,5
4/4/2009,Possible/Unknown,15
4/5/2009,Property Damage Only,107
4/5/2009,Minor Injury,8
4/5/2009,Major Injury,1
4/5/2009,Fatal,5
4/5/2009,Possible/Unknown,21
4/6/2009,Property Damage Only,66
4/6/2009,Minor Injury,9
4/6/2009,Major Injury,5
4/6/2009,Fatal,2
4/6/2009,Possible/Unknown,15
4/7/2009,Property Damage Only,100
4/7/2009,Minor Injury,10
4/7/2009,Major Injury,6
4/7/2009,Fatal,1
4/7/2009,Possible/Unknown,17
4/8/2009,Property Damage Only,99
4/8/2009,Minor Injury,19
4/8/2009,Major Injury,1
4/8/2009,Fatal,1
4/8/2009,Possible/Unknown,17
4/9/2009,Property Damage Only,67
4/9/2009,Minor Injury,8
4/9/2009,Major Injury,2
4/9/2009,Possible/Unknown,20
4/10/2009,Property Damage Only,87
4/10/2009,Minor Injury,12
4/10/2009,Major Injury,4
4/10/2009,Fatal,1
4/10/2009,Possible/Unknown,21
4/11/2009,Property Damage Only,80
4/11/2009,Minor Injury,12
4/11/2009,Major Injury,4
4/11/2009,Fatal,1
4/11/2009,Possible/Unknown,19
4/12/2009,Property Damage Only,53
4/12/2009,Minor Injury,5
4/12/2009,Major Injury,2
4/12/2009,Possible/Unknown,13
4/13/2009,Property Damage Only,110
4/13/2009,Minor Injury,8
4/13/2009,Major Injury,2
4/13/2009,Fatal,1
4/13/2009,Possible/Unknown,20
4/14/2009,Property Damage Only,89
4/14/2009,Minor Injury,11
4/14/2009,Major Injury,1
4/14/2009,Fatal,1
4/14/2009,Possible/Unknown,19
4/15/2009,Property Damage Only,78
4/15/2009,Minor Injury,16
4/15/2009,Major Injury,3
4/15/2009,Fatal,1
4/15/2009,Possible/Unknown,22
4/16/2009,Property Damage Only,76
4/16/2009,Minor Injury,11
4/16/2009,Major Injury,4
4/16/2009,Fatal,1
4/16/2009,Possible/Unknown,19
4/17/2009,Property Damage Only,107
4/17/2009,Minor Injury,24
4/17/2009,Major Injury,8
4/17/2009,Fatal,2
4/17/2009,Possible/Unknown,25
4/18/2009,Property Damage Only,91
4/18/2009,Minor Injury,14
4/18/2009,Major Injury,7
4/18/2009,Possible/Unknown,16
4/19/2009,Property Damage Only,60
4/19/2009,Minor Injury,12
4/19/2009,Major Injury,4
4/19/2009,Possible/Unknown,10
4/20/2009,Property Damage Only,96
4/20/2009,Minor Injury,12
4/20/2009,Major Injury,3
4/20/2009,Fatal,1
4/20/2009,Possible/Unknown,34
4/21/2009,Property Damage Only,81
4/21/2009,Minor Injury,11
4/21/2009,Major Injury,5
4/21/2009,Fatal,1
4/21/2009,Possible/Unknown,8
4/22/2009,Property Damage Only,70
4/22/2009,Minor Injury,15
4/22/2009,Major Injury,4
4/22/2009,Fatal,2
4/22/2009,Possible/Unknown,19
4/23/2009,Property Damage Only,73
4/23/2009,Minor Injury,18
4/23/2009,Major Injury,6
4/23/2009,Fatal,1
4/23/2009,Possible/Unknown,27
4/24/2009,Property Damage Only,126
4/24/2009,Minor Injury,22
4/24/2009,Major Injury,4
4/24/2009,Fatal,1
4/24/2009,Possible/Unknown,25
4/25/2009,Property Damage Only,102
4/25/2009,Minor Injury,12
4/25/2009,Major Injury,7
4/25/2009,Fatal,1
4/25/2009,Possible/Unknown,21
4/26/2009,Property Damage Only,75
4/26/2009,Minor Injury,12
4/26/2009,Major Injury,2
4/26/2009,Fatal,3
4/26/2009,Possible/Unknown,14
4/27/2009,Property Damage Only,96
4/27/2009,Minor Injury,12
4/27/2009,Major Injury,2
4/27/2009,Fatal,2
4/27/2009,Possible/Unknown,23
4/28/2009,Property Damage Only,88
4/28/2009,Minor Injury,12
4/28/2009,Major Injury,3
4/28/2009,Possible/Unknown,25
4/29/2009,Property Damage Only,78
4/29/2009,Minor Injury,14
4/29/2009,Major Injury,2
4/29/2009,Possible/Unknown,23
4/30/2009,Property Damage Only,75
4/30/2009,Minor Injury,13
4/30/2009,Major Injury,4
4/30/2009,Fatal,3
4/30/2009,Possible/Unknown,26
5/1/2009,Property Damage Only,114
5/1/2009,Minor Injury,13
5/1/2009,Major Injury,2
5/1/2009,Possible/Unknown,25
5/2/2009,Property Damage Only,80
5/2/2009,Minor Injury,8
5/2/2009,Major Injury,7
5/2/2009,Fatal,1
5/2/2009,Possible/Unknown,25
5/3/2009,Property Damage Only,77
5/3/2009,Minor Injury,8
5/3/2009,Major Injury,5
5/3/2009,Possible/Unknown,11
5/4/2009,Property Damage Only,66
5/4/2009,Minor Injury,9
5/4/2009,Major Injury,5
5/4/2009,Possible/Unknown,13
5/5/2009,Property Damage Only,91
5/5/2009,Minor Injury,11
5/5/2009,Major Injury,4
5/5/2009,Possible/Unknown,34
5/6/2009,Property Damage Only,90
5/6/2009,Minor Injury,10
5/6/2009,Major Injury,4
5/6/2009,Fatal,3
5/6/2009,Possible/Unknown,14
5/7/2009,Property Damage Only,109
5/7/2009,Minor Injury,19
5/7/2009,Major Injury,2
5/7/2009,Fatal,4
5/7/2009,Possible/Unknown,34
5/8/2009,Property Damage Only,130
5/8/2009,Minor Injury,17
5/8/2009,Major Injury,6
5/8/2009,Possible/Unknown,29
5/9/2009,Property Damage Only,101
5/9/2009,Minor Injury,18
5/9/2009,Major Injury,2
5/9/2009,Possible/Unknown,23
5/10/2009,Property Damage Only,79
5/10/2009,Minor Injury,4
5/10/2009,Major Injury,4
5/10/2009,Possible/Unknown,13
5/11/2009,Property Damage Only,98
5/11/2009,Minor Injury,21
5/11/2009,Major Injury,3
5/11/2009,Fatal,5
5/11/2009,Possible/Unknown,27
