Date of Crash,Crash Severity,Crashes
03/16/2009,Possible/Unknown,19
03/16/2009,Fatal,2
03/16/2009,Minor Injury,11
03/17/2009,Minor Injury,10
03/17/2009,Major Injury,4
03/17/2009,Possible/Unknown,19
03/17/2009,Property Damage Only,100
03/18/2009,Property Damage Only,89
03/18/2009,Minor Injury,9
03/18/2009,Major Injury,1
03/18/2009,Possible/Unknown,14
03/19/2009,Major Injury,3
03/19/2009,Property Damage Only,83
03/19/2009,Possible/Unknown,22
03/19/2009,Minor Injury,12
03/20/2009,Possible/Unknown,23
03/20/2009,Minor Injury,8
03/20/2009,Major Injury,1
03/20/2009,Property Damage Only,79
03/21/2009,Major Injury,7
03/21/2009,Property Damage Only,66
03/21/2009,Possible/Unknown,16
03/21/2009,Minor Injury,8
03/22/2009,Minor Injury,4
03/22/2009,Property Damage Only,46
03/22/2009,Possible/Unknown,7
03/22/2009,Major Injury,2
03/23/2009,Major Injury,2
03/23/2009,Minor Injury,5
03/23/2009,Possible/Unknown,22
03/23/2009,Property Damage Only,67
03/24/2009,Minor Injury,11
03/24/2009,Property Damage Only,80
03/24/2009,Fatal,2
03/24/2009,Possible/Unknown,33
03/24/2009,Major Injury,5
03/25/2009,Major Injury,3
03/25/2009,Fatal,2
03/25/2009,Minor Injury,6
03/25/2009,Property Damage Only,65
03/25/2009,Possible/Unknown,18
03/26/2009,Major Injury,1
03/26/2009,Possible/Unknown,6
03/26/2009,Property Damage Only,78
03/26/2009,Minor Injury,8
03/27/2009,Possible/Unknown,19
03/27/2009,Minor Injury,6
03/27/2009,Property Damage Only,70
03/27/2009,Major Injury,6
03/28/2009,Property Damage Only,139
03/28/2009,Major Injury,7
03/28/2009,Possible/Unknown,36
03/28/2009,Minor Injury,19
03/29/2009,Possible/Unknown,19
03/29/2009,Major Injury,1
03/29/2009,Minor Injury,9
03/29/2009,Property Damage Only,66
03/30/2009,Property Damage Only,94
03/30/2009,Minor Injury,10
03/30/2009,Major Injury,6
03/30/2009,Possible/Unknown,21
03/31/2009,Possible/Unknown,12
03/31/2009,Major Injury,2
03/31/2009,Property Damage Only,62
03/31/2009,Minor Injury,6
04/01/2009,Possible/Unknown,20
04/01/2009,Minor Injury,7
04/01/2009,Property Damage Only,83
04/01/2009,Major Injury,4
04/01/2009,Fatal,1
04/02/2009,Major Injury,5
04/02/2009,Possible/Unknown,18
04/02/2009,Property Damage Only,84
04/02/2009,Minor Injury,8
04/02/2009,Fatal,1
04/03/2009,Property Damage Only,136
04/03/2009,Major Injury,4
04/03/2009,Minor Injury,15
04/03/2009,Possible/Unknown,25
04/04/2009,Property Damage Only,71
04/04/2009,Possible/Unknown,15
04/04/2009,Minor Injury,17
04/04/2009,Major Injury,5
04/05/2009,Fatal,5
04/05/2009,Minor Injury,8
04/05/2009,Major Injury,1
04/05/2009,Possible/Unknown,21
04/05/2009,Property Damage Only,107
04/06/2009,Possible/Unknown,15
04/06/2009,Major Injury,5
04/06/2009,Fatal,2
04/06/2009,Property Damage Only,66
04/06/2009,Minor Injury,9
04/07/2009,Major Injury,6
04/07/2009,Property Damage Only,100
04/07/2009,Possible/Unknown,17
04/07/2009,Fatal,1
04/07/2009,Minor Injury,10
04/08/2009,Property Damage Only,99
04/08/2009,Minor Injury,19
04/08/2009,Fatal,1
04/08/2009,Possible/Unknown,17
04/08/2009,Major Injury,1
04/09/2009,Major Injury,2
04/09/2009,Property Damage Only,67
04/09/2009,Possible/Unknown,20
04/09/2009,Minor Injury,8
04/10/2009,Major Injury,4
04/10/2009,Possible/Unknown,21
04/10/2009,Minor Injury,12
04/10/2009,Property Damage Only,87
04/10/2009,Fatal,1
04/11/2009,Possible/Unknown,19
04/11/2009,Major Injury,4
04/11/2009,Fatal,1
04/11/2009,Minor Injury,12
04/11/2009,Property Damage Only,80
04/12/2009,Property Damage Only,53
04/12/2009,Possible/Unknown,13
04/12/2009,Minor Injury,5
04/12/2009,Major Injury,2
04/13/2009,Fatal,1
04/13/2009,Possible/Unknown,20
04/13/2009,Major Injury,2
04/13/2009,Minor Injury,8
04/13/2009,Property Damage Only,110
04/14/2009,Possible/Unknown,19
04/14/2009,Fatal,1
04/14/2009,Minor Injury,11
04/14/2009,Property Damage Only,89
04/14/2009,Major Injury,1
04/15/2009,Major Injury,3
04/15/2009,Possible/Unknown,22
04/15/2009,Minor Injury,16
04/15/2009,Property Damage Only,78
04/15/2009,Fatal,1
04/16/2009,Property Damage Only,76
04/16/2009,Fatal,1
04/16/2009,Possible/Unknown,19
04/16/2009,Minor Injury,11
04/16/2009,Major Injury,4
04/17/2009,Fatal,2
04/17/2009,Minor Injury,24
04/17/2009,Possible/Unknown,25
04/17/2009,Property Damage Only,107
04/17/2009,Major Injury,8
04/18/2009,Major Injury,7
04/18/2009,Minor Injury,14
04/18/2009,Possible/Unknown,16
04/18/2009,Property Damage Only,91
04/19/2009,Property Damage Only,60
04/19/2009,Major Injury,4
04/19/2009,Possible/Unknown,10
04/19/2009,Minor Injury,12
04/20/2009,Fatal,1
04/20/2009,Minor Injury,12
04/20/2009,Possible/Unknown,34
04/20/2009,Major Injury,3
04/20/2009,Property Damage Only,96
04/21/2009,Possible/Unknown,8
04/21/2009,Minor Injury,11
04/21/2009,Property Damage Only,81
04/21/2009,Fatal,1
04/21/2009,Major Injury,5
04/22/2009,Fatal,2
04/22/2009,Minor Injury,15
04/22/2009,Property Damage Only,70
04/22/2009,Possible/Unknown,19
04/22/2009,Major Injury,4
04/23/2009,Property Damage Only,73
04/23/2009,Major Injury,6
04/23/2009,Fatal,1
04/23/2009,Minor Injury,18
04/23/2009,Possible/Unknown,27
04/24/2009,Possible/Unknown,25
04/24/2009,Property Damage Only,126
04/24/2009,Fatal,1
04/24/2009,Major Injury,4
04/24/2009,Minor Injury,22
04/25/2009,Major Injury,7
04/25/2009,Possible/Unknown,21
04/25/2009,Fatal,1
04/25/2009,Property Damage Only,102
04/25/2009,Minor Injury,12
04/26/2009,Major Injury,2
04/26/2009,Minor Injury,12
04/26/2009,Possible/Unknown,14
04/26/2009,Fatal,3
04/26/2009,Property Damage Only,75
04/27/2009,Major Injury,2
04/27/2009,Fatal,2
04/27/2009,Minor Injury,12
04/27/2009,Property Damage Only,96
04/27/2009,Possible/Unknown,23
04/28/2009,Minor Injury,12
04/28/2009,Major Injury,3
04/28/2009,Possible/Unknown,25
04/28/2009,Property Damage Only,88
04/29/2009,Possible/Unknown,23
04/29/2009,Property Damage Only,78
04/29/2009,Minor Injury,14
04/29/2009,Major Injury,2
04/30/2009,Possible/Unknown,26
04/30/2009,Property Damage Only,75
04/30/2009,Major Injury,4
04/30/2009,Fatal,3
04/30/2009,Minor Injury,13
05/01/2009,Possible/Unknown,25
05/01/2009,Minor Injury,13
05/01/2009,Property Damage Only,114
05/01/2009,Major Injury,2
05/02/2009,Possible/Unknown,25
05/02/2009,Minor Injury,8
05/02/2009,Fatal,1
05/02/2009,Major Injury,7
05/02/2009,Property Damage Only,80
05/03/2009,Property Damage Only,77
05/03/2009,Minor Injury,8
05/03/2009,Possible/Unknown,11
05/03/2009,Major Injury,5
05/04/2009,Major Injury,5
05/04/2009,Property Damage Only,66
05/04/2009,Minor Injury,9
05/04/2009,Possible/Unknown,13
05/05/2009,Property Damage Only,91
05/05/2009,Minor Injury,11
05/05/2009,Possible/Unknown,34
05/05/2009,Major Injury,4
05/06/2009,Possible/Unknown,14
05/06/2009,Major Injury,4
05/06/2009,Property Damage Only,90
05/06/2009,Fatal,3
05/06/2009,Minor Injury,10
05/07/2009,Property Damage Only,109
05/07/2009,Possible/Unknown,34
05/07/2009,Major Injury,2
05/07/2009,Fatal,4
05/07/2009,Minor Injury,19
05/08/2009,Minor Injury,17
05/08/2009,Major Injury,6
